filename	nr_rows	nr_cols	nr_nnz	density	mem_footprint
synthetic_4000_4000_1677986_avg420_std0.02_random_g14.mtx	4000	4000	1677986	10.4874	19.218
synthetic_4000_4000_1677986_avg420_std0.2_random_g14.mtx	4000	4000	1677986	10.4874	19.218
synthetic_4000_4000_1677961_avg420_std0.64_random_g14.mtx	4000	4000	1677961	10.4873	19.218
synthetic_4000_4000_1677926_avg420_std0.84_random_g14.mtx	4000	4000	1677926	10.487	19.218
synthetic_4000_4000_1677835_avg420_std1.6_random_g14.mtx	4000	4000	1677835	10.4865	19.217
synthetic_4000_4000_1677780_avg420_std2.25_random_g14.mtx	4000	4000	1677780	10.4861	19.216
synthetic_4000_4000_1677729_avg420_std2.5_random_g14.mtx	4000	4000	1677729	10.4858	19.215
synthetic_4000_4000_1677694_avg420_std3_random_g14.mtx	4000	4000	1677694	10.4856	19.215
synthetic_4000_4000_1677171_avg420_std8_random_g14.mtx	4000	4000	1677171	10.4823	19.209
synthetic_4000_4000_1676643_avg420_std13_random_g14.mtx	4000	4000	1676643	10.479	19.203
synthetic_4000_4000_1668622_avg420_std125_random_g14.mtx	4000	4000	1668622	10.4289	19.111
synthetic_21000_21000_1459564_avg70_std0.02_random_g14.mtx	21000	21000	1459564	0.331	16.783
synthetic_21000_21000_1459556_avg70_std0.2_random_g14.mtx	21000	21000	1459556	0.331	16.783
synthetic_21000_21000_1459542_avg70_std0.64_random_g14.mtx	21000	21000	1459542	0.331	16.783
synthetic_21000_21000_1459483_avg70_std0.84_random_g14.mtx	21000	21000	1459483	0.3309	16.783
synthetic_21000_21000_1459525_avg70_std1.6_random_g14.mtx	21000	21000	1459525	0.331	16.783
synthetic_21000_21000_1459542_avg70_std2.25_random_g14.mtx	21000	21000	1459542	0.331	16.783
synthetic_21000_21000_1459551_avg70_std2.5_random_g14.mtx	21000	21000	1459551	0.331	16.783
synthetic_21000_21000_1459602_avg70_std3_random_g14.mtx	21000	21000	1459602	0.331	16.784
synthetic_21000_21000_1459790_avg70_std8_random_g14.mtx	21000	21000	1459790	0.331	16.786
synthetic_21000_21000_1459759_avg70_std13_random_g14.mtx	21000	21000	1459759	0.331	16.786
synthetic_21000_21000_1465687_avg70_std125_random_g14.mtx	21000	21000	1465687	0.3324	16.854
synthetic_21000_21000_2194564_avg105_std0.02_random_g14.mtx	21000	21000	2194564	0.4976	25.195
synthetic_21000_21000_2194559_avg105_std0.2_random_g14.mtx	21000	21000	2194559	0.4976	25.195
synthetic_21000_21000_2194539_avg105_std0.64_random_g14.mtx	21000	21000	2194539	0.4976	25.195
synthetic_21000_21000_2194483_avg105_std0.84_random_g14.mtx	21000	21000	2194483	0.4976	25.194
synthetic_21000_21000_2194540_avg105_std1.6_random_g14.mtx	21000	21000	2194540	0.4976	25.195
synthetic_21000_21000_2194549_avg105_std2.25_random_g14.mtx	21000	21000	2194549	0.4976	25.195
synthetic_21000_21000_2194544_avg105_std2.5_random_g14.mtx	21000	21000	2194544	0.4976	25.195
synthetic_21000_21000_2194594_avg105_std3_random_g14.mtx	21000	21000	2194594	0.4976	25.195
synthetic_21000_21000_2194828_avg105_std8_random_g14.mtx	21000	21000	2194828	0.4977	25.198
synthetic_21000_21000_2195079_avg105_std13_random_g14.mtx	21000	21000	2195079	0.4978	25.201
