filename	nr_rows	nr_cols	nr_nnz	density	mem_footprint
synthetic_4000_4000_877986_avg220_std0.02_random_g14.mtx	4000	4000	877986	5.4874	6.714
synthetic_4000_4000_877986_avg220_std0.2_random_g14.mtx	4000	4000	877986	5.4874	6.714
synthetic_4000_4000_877961_avg220_std0.64_random_g14.mtx	4000	4000	877961	5.4873	6.714
synthetic_4000_4000_877925_avg220_std0.84_random_g14.mtx	4000	4000	877925	5.487	6.713
synthetic_4000_4000_877834_avg220_std1.6_random_g14.mtx	4000	4000	877834	5.4865	6.713
synthetic_4000_4000_877783_avg220_std2.25_random_g14.mtx	4000	4000	877783	5.4861	6.712
synthetic_4000_4000_877726_avg220_std2.5_random_g14.mtx	4000	4000	877726	5.4858	6.712
synthetic_4000_4000_877691_avg220_std3_random_g14.mtx	4000	4000	877691	5.4856	6.712
synthetic_4000_4000_877197_avg220_std8_random_g14.mtx	4000	4000	877197	5.4825	6.708
synthetic_4000_4000_876698_avg220_std13_random_g14.mtx	4000	4000	876698	5.4794	6.704
synthetic_4000_4000_867818_avg220_std125_random_g14.mtx	4000	4000	867818	5.4239	6.636
synthetic_21000_21000_934564_avg45_std0.02_random_g14.mtx	21000	21000	934564	0.2119	7.21
synthetic_21000_21000_934548_avg45_std0.2_random_g14.mtx	21000	21000	934548	0.2119	7.21
synthetic_21000_21000_934539_avg45_std0.64_random_g14.mtx	21000	21000	934539	0.2119	7.21
synthetic_21000_21000_934474_avg45_std0.84_random_g14.mtx	21000	21000	934474	0.2119	7.21
synthetic_21000_21000_934514_avg45_std1.6_random_g14.mtx	21000	21000	934514	0.2119	7.21
synthetic_21000_21000_934564_avg45_std2.25_random_g14.mtx	21000	21000	934564	0.2119	7.21
synthetic_21000_21000_934570_avg45_std2.5_random_g14.mtx	21000	21000	934570	0.2119	7.21
synthetic_21000_21000_934627_avg45_std3_random_g14.mtx	21000	21000	934627	0.2119	7.211
synthetic_21000_21000_934715_avg45_std8_random_g14.mtx	21000	21000	934715	0.212	7.211
synthetic_21000_21000_935050_avg45_std13_random_g14.mtx	21000	21000	935050	0.212	7.214
synthetic_21000_21000_935603_avg45_std125_random_g14.mtx	21000	21000	935603	0.2122	7.218
synthetic_38000_38000_740975_avg20_std0.02_random_g14.mtx	38000	38000	740975	0.0513	5.798
