filename	nr_rows	nr_cols	nr_nnz	density	mem_footprint
synthetic_4000_4000_10397986_avg2600_std0.02_random_g14.mtx	4000	4000	10397986	64.9874	79.346
synthetic_4000_4000_10397986_avg2600_std0.2_random_g14.mtx	4000	4000	10397986	64.9874	79.346
synthetic_4000_4000_10397960_avg2600_std0.64_random_g14.mtx	4000	4000	10397960	64.9872	79.345
synthetic_4000_4000_10397926_avg2600_std0.84_random_g14.mtx	4000	4000	10397926	64.987	79.345
synthetic_4000_4000_10397836_avg2600_std1.6_random_g14.mtx	4000	4000	10397836	64.9865	79.344
synthetic_4000_4000_10397783_avg2600_std2.25_random_g14.mtx	4000	4000	10397783	64.9861	79.344
synthetic_4000_4000_10397728_avg2600_std2.5_random_g14.mtx	4000	4000	10397728	64.9858	79.344
synthetic_4000_4000_10397687_avg2600_std3_random_g14.mtx	4000	4000	10397687	64.9855	79.343
synthetic_4000_4000_10397168_avg2600_std8_random_g14.mtx	4000	4000	10397168	64.9823	79.339
synthetic_4000_4000_10396605_avg2600_std13_random_g14.mtx	4000	4000	10396605	64.9788	79.335
synthetic_4000_4000_10385410_avg2600_std125_random_g14.mtx	4000	4000	10385410	64.9088	79.25
synthetic_21000_21000_8809564_avg420_std0.02_random_g14.mtx	21000	21000	8809564	1.9976	67.292
synthetic_21000_21000_8809564_avg420_std0.2_random_g14.mtx	21000	21000	8809564	1.9976	67.292
synthetic_21000_21000_8809545_avg420_std0.64_random_g14.mtx	21000	21000	8809545	1.9976	67.292
synthetic_21000_21000_8809490_avg420_std0.84_random_g14.mtx	21000	21000	8809490	1.9976	67.291
synthetic_21000_21000_8809538_avg420_std1.6_random_g14.mtx	21000	21000	8809538	1.9976	67.292
synthetic_21000_21000_8809557_avg420_std2.25_random_g14.mtx	21000	21000	8809557	1.9976	67.292
synthetic_21000_21000_8809572_avg420_std2.5_random_g14.mtx	21000	21000	8809572	1.9976	67.292
synthetic_21000_21000_8809600_avg420_std3_random_g14.mtx	21000	21000	8809600	1.9976	67.292
synthetic_21000_21000_8809753_avg420_std8_random_g14.mtx	21000	21000	8809753	1.9977	67.293
synthetic_21000_21000_8809925_avg420_std13_random_g14.mtx	21000	21000	8809925	1.9977	67.295
synthetic_21000_21000_8815433_avg420_std125_random_g14.mtx	21000	21000	8815433	1.999	67.337
synthetic_38000_38000_15940978_avg420_std0.02_random_g14.mtx	38000	38000	15940978	1.1039	121.765
synthetic_38000_38000_15940978_avg420_std0.2_random_g14.mtx	38000	38000	15940978	1.1039	121.765
synthetic_38000_38000_15940964_avg420_std0.64_random_g14.mtx	38000	38000	15940964	1.1039	121.765
synthetic_38000_38000_15940885_avg420_std0.84_random_g14.mtx	38000	38000	15940885	1.1039	121.764
synthetic_38000_38000_15940958_avg420_std1.6_random_g14.mtx	38000	38000	15940958	1.1039	121.765
synthetic_38000_38000_15940867_avg420_std2.25_random_g14.mtx	38000	38000	15940867	1.1039	121.764
synthetic_38000_38000_15940830_avg420_std2.5_random_g14.mtx	38000	38000	15940830	1.1039	121.764
synthetic_38000_38000_15940879_avg420_std3_random_g14.mtx	38000	38000	15940879	1.1039	121.764
synthetic_38000_38000_15940591_avg420_std8_random_g14.mtx	38000	38000	15940591	1.1039	121.762
synthetic_38000_38000_15940384_avg420_std13_random_g14.mtx	38000	38000	15940384	1.1039	121.76
synthetic_38000_38000_15935933_avg420_std125_random_g14.mtx	38000	38000	15935933	1.1036	121.726
synthetic_47000_47000_10316464_avg220_std0.02_random_g14.mtx	47000	47000	10316464	0.467	78.888
synthetic_47000_47000_10316462_avg220_std0.2_random_g14.mtx	47000	47000	10316462	0.467	78.888
synthetic_47000_47000_10316458_avg220_std0.64_random_g14.mtx	47000	47000	10316458	0.467	78.888
synthetic_47000_47000_10316306_avg220_std0.84_random_g14.mtx	47000	47000	10316306	0.467	78.886
synthetic_47000_47000_10316314_avg220_std1.6_random_g14.mtx	47000	47000	10316314	0.467	78.887
synthetic_47000_47000_10316273_avg220_std2.25_random_g14.mtx	47000	47000	10316273	0.467	78.886
synthetic_47000_47000_10316149_avg220_std2.5_random_g14.mtx	47000	47000	10316149	0.467	78.885
synthetic_47000_47000_10316243_avg220_std3_random_g14.mtx	47000	47000	10316243	0.467	78.886
synthetic_47000_47000_10315718_avg220_std8_random_g14.mtx	47000	47000	10315718	0.467	78.882
synthetic_47000_47000_10315276_avg220_std13_random_g14.mtx	47000	47000	10315276	0.467	78.879
synthetic_47000_47000_10308373_avg220_std125_random_g14.mtx	47000	47000	10308373	0.4667	78.826
synthetic_64000_64000_14047995_avg220_std0.02_random_g14.mtx	64000	64000	14047995	0.343	107.422
synthetic_64000_64000_14047991_avg220_std0.2_random_g14.mtx	64000	64000	14047991	0.343	107.422
synthetic_64000_64000_14048013_avg220_std0.64_random_g14.mtx	64000	64000	14048013	0.343	107.422
synthetic_64000_64000_14047864_avg220_std0.84_random_g14.mtx	64000	64000	14047864	0.343	107.421
synthetic_64000_64000_14047915_avg220_std1.6_random_g14.mtx	64000	64000	14047915	0.343	107.421
synthetic_64000_64000_14047911_avg220_std2.25_random_g14.mtx	64000	64000	14047911	0.343	107.421
synthetic_64000_64000_14047907_avg220_std2.5_random_g14.mtx	64000	64000	14047907	0.343	107.421
synthetic_64000_64000_14048012_avg220_std3_random_g14.mtx	64000	64000	14048012	0.343	107.422
synthetic_64000_64000_14047952_avg220_std8_random_g14.mtx	64000	64000	14047952	0.343	107.422
synthetic_64000_64000_14047938_avg220_std13_random_g14.mtx	64000	64000	14047938	0.343	107.421
synthetic_64000_64000_14054497_avg220_std125_random_g14.mtx	64000	64000	14054497	0.3431	107.471
synthetic_68000_68000_14925953_avg220_std0.02_random_g14.mtx	68000	68000	14925953	0.3228	114.135
synthetic_68000_68000_14925948_avg220_std0.2_random_g14.mtx	68000	68000	14925948	0.3228	114.135
synthetic_68000_68000_14925944_avg220_std0.64_random_g14.mtx	68000	68000	14925944	0.3228	114.135
synthetic_68000_68000_14925790_avg220_std0.84_random_g14.mtx	68000	68000	14925790	0.3228	114.134
synthetic_68000_68000_14925793_avg220_std1.6_random_g14.mtx	68000	68000	14925793	0.3228	114.134
synthetic_68000_68000_14925703_avg220_std2.25_random_g14.mtx	68000	68000	14925703	0.3228	114.133
synthetic_68000_68000_14925712_avg220_std2.5_random_g14.mtx	68000	68000	14925712	0.3228	114.134
synthetic_68000_68000_14925763_avg220_std3_random_g14.mtx	68000	68000	14925763	0.3228	114.134
synthetic_68000_68000_14925294_avg220_std8_random_g14.mtx	68000	68000	14925294	0.3228	114.13
synthetic_68000_68000_14924920_avg220_std13_random_g14.mtx	68000	68000	14924920	0.3228	114.128
synthetic_68000_68000_14923572_avg220_std125_random_g14.mtx	68000	68000	14923572	0.3227	114.117
synthetic_83000_83000_8673499_avg105_std0.02_random_g14.mtx	83000	83000	8673499	0.1259	66.49
synthetic_83000_83000_8673485_avg105_std0.2_random_g14.mtx	83000	83000	8673485	0.1259	66.49
synthetic_83000_83000_8673506_avg105_std0.64_random_g14.mtx	83000	83000	8673506	0.1259	66.49
synthetic_83000_83000_8673392_avg105_std0.84_random_g14.mtx	83000	83000	8673392	0.1259	66.489
synthetic_83000_83000_8673393_avg105_std1.6_random_g14.mtx	83000	83000	8673393	0.1259	66.489
synthetic_83000_83000_8673345_avg105_std2.25_random_g14.mtx	83000	83000	8673345	0.1259	66.489
synthetic_83000_83000_8673415_avg105_std2.5_random_g14.mtx	83000	83000	8673415	0.1259	66.49
synthetic_83000_83000_8673440_avg105_std3_random_g14.mtx	83000	83000	8673440	0.1259	66.49
synthetic_83000_83000_8673466_avg105_std8_random_g14.mtx	83000	83000	8673466	0.1259	66.49
synthetic_83000_83000_8673466_avg105_std13_random_g14.mtx	83000	83000	8673466	0.1259	66.49
synthetic_83000_83000_8687381_avg105_std125_random_g14.mtx	83000	83000	8687381	0.1261	66.596
synthetic_121000_121000_8409547_avg70_std0.02_random_g14.mtx	121000	121000	8409547	0.0574	64.621
synthetic_121000_121000_8409515_avg70_std0.2_random_g14.mtx	121000	121000	8409515	0.0574	64.621
synthetic_121000_121000_8409660_avg70_std0.64_random_g14.mtx	121000	121000	8409660	0.0574	64.622
synthetic_121000_121000_8409579_avg70_std0.84_random_g14.mtx	121000	121000	8409579	0.0574	64.622
synthetic_121000_121000_8409687_avg70_std1.6_random_g14.mtx	121000	121000	8409687	0.0574	64.622
synthetic_121000_121000_8409777_avg70_std2.25_random_g14.mtx	121000	121000	8409777	0.0574	64.623
synthetic_121000_121000_8410000_avg70_std2.5_random_g14.mtx	121000	121000	8410000	0.0574	64.625
synthetic_121000_121000_8410079_avg70_std3_random_g14.mtx	121000	121000	8410079	0.0574	64.625
synthetic_121000_121000_8411166_avg70_std8_random_g14.mtx	121000	121000	8411166	0.0574	64.634
synthetic_121000_121000_8412337_avg70_std13_random_g14.mtx	121000	121000	8412337	0.0575	64.643
synthetic_121000_121000_8445315_avg70_std125_random_g14.mtx	121000	121000	8445315	0.0577	64.894
synthetic_121000_121000_12644548_avg105_std0.02_random_g14.mtx	121000	121000	12644548	0.0864	96.932
synthetic_121000_121000_12644531_avg105_std0.2_random_g14.mtx	121000	121000	12644531	0.0864	96.932
synthetic_121000_121000_12644659_avg105_std0.64_random_g14.mtx	121000	121000	12644659	0.0864	96.933
synthetic_121000_121000_12644565_avg105_std0.84_random_g14.mtx	121000	121000	12644565	0.0864	96.932
synthetic_121000_121000_12644698_avg105_std1.6_random_g14.mtx	121000	121000	12644698	0.0864	96.933
