filename	nr_rows	nr_cols	nr_nnz	density	mem_footprint
synthetic_38000_38000_98780978_avg2600_std0.02_random_g14.mtx	38000	38000	98780978	6.8408	753.784
synthetic_38000_38000_98780978_avg2600_std0.2_random_g14.mtx	38000	38000	98780978	6.8408	753.784
synthetic_38000_38000_98780965_avg2600_std0.64_random_g14.mtx	38000	38000	98780965	6.8408	753.784
synthetic_38000_38000_98780883_avg2600_std0.84_random_g14.mtx	38000	38000	98780883	6.8408	753.783
synthetic_38000_38000_98780955_avg2600_std1.6_random_g14.mtx	38000	38000	98780955	6.8408	753.784
synthetic_38000_38000_98780866_avg2600_std2.25_random_g14.mtx	38000	38000	98780866	6.8408	753.783
synthetic_38000_38000_98780827_avg2600_std2.5_random_g14.mtx	38000	38000	98780827	6.8408	753.783
synthetic_38000_38000_98780867_avg2600_std3_random_g14.mtx	38000	38000	98780867	6.8408	753.783
synthetic_38000_38000_98780666_avg2600_std8_random_g14.mtx	38000	38000	98780666	6.8408	753.782
synthetic_38000_38000_98780463_avg2600_std13_random_g14.mtx	38000	38000	98780463	6.8408	753.78
synthetic_38000_38000_98775776_avg2600_std125_random_g14.mtx	38000	38000	98775776	6.8404	753.744
synthetic_47000_47000_122176464_avg2600_std0.02_random_g14.mtx	47000	47000	122176464	5.5308	932.312
synthetic_47000_47000_122176464_avg2600_std0.2_random_g14.mtx	47000	47000	122176464	5.5308	932.312
synthetic_47000_47000_122176460_avg2600_std0.64_random_g14.mtx	47000	47000	122176460	5.5308	932.312
synthetic_47000_47000_122176303_avg2600_std0.84_random_g14.mtx	47000	47000	122176303	5.5308	932.311
synthetic_47000_47000_122176322_avg2600_std1.6_random_g14.mtx	47000	47000	122176322	5.5308	932.311
synthetic_47000_47000_122176270_avg2600_std2.25_random_g14.mtx	47000	47000	122176270	5.5308	932.31
synthetic_47000_47000_122176159_avg2600_std2.5_random_g14.mtx	47000	47000	122176159	5.5308	932.309
synthetic_47000_47000_122176252_avg2600_std3_random_g14.mtx	47000	47000	122176252	5.5308	932.31
synthetic_47000_47000_122175795_avg2600_std8_random_g14.mtx	47000	47000	122175795	5.5308	932.307
synthetic_47000_47000_122175367_avg2600_std13_random_g14.mtx	47000	47000	122175367	5.5308	932.303
synthetic_47000_47000_122165117_avg2600_std125_random_g14.mtx	47000	47000	122165117	5.5303	932.225
synthetic_161000_161000_67539537_avg420_std0.02_random_g14.mtx	161000	161000	67539537	0.2606	515.9
synthetic_161000_161000_67539529_avg420_std0.2_random_g14.mtx	161000	161000	67539529	0.2606	515.9
synthetic_161000_161000_67539651_avg420_std0.64_random_g14.mtx	161000	161000	67539651	0.2606	515.901
synthetic_161000_161000_67539531_avg420_std0.84_random_g14.mtx	161000	161000	67539531	0.2606	515.9
synthetic_161000_161000_67539426_avg420_std1.6_random_g14.mtx	161000	161000	67539426	0.2606	515.899
synthetic_161000_161000_67539561_avg420_std2.25_random_g14.mtx	161000	161000	67539561	0.2606	515.9
synthetic_161000_161000_67539528_avg420_std2.5_random_g14.mtx	161000	161000	67539528	0.2606	515.9
synthetic_161000_161000_67539647_avg420_std3_random_g14.mtx	161000	161000	67539647	0.2606	515.901
