synthetic_207000_207000_avg4_std8_random_n14,207000,207000,1378439,207000,207000,40106048,2809.53,128,1.61734,12.6355,0.218186,6.34818,328.767
synthetic_207000_207000_avg4_std8_diagonal_0.5_n14,207000,207000,1378439,207000,207000,7227296,424.31,128,0.112884,0.881904,3.12605,16.3902,59.1009
synthetic_207000_207000_avg4_std8_diagonal_0.05_n14,207000,207000,1378439,207000,207000,8591232,523.258,128,0.113414,0.886049,3.11143,19.3922,70.2269
synthetic_207000_207000_avg4_std8_diagonal_0.005_n14,207000,207000,1378439,207000,207000,10628224,671.033,128,0.16802,1.31266,2.10022,16.1934,86.9231
synthetic_21000_21000_avg70_std8_random_n14,21000,21000,1459874,21000,21000,7688480,426.654,128,0.0840182,0.656392,4.44817,23.4265,62.8078
synthetic_21000_21000_avg70_std8_diagonal_0.5_n14,21000,21000,1459874,21000,21000,4324832,196.247,128,0.0416757,0.325591,8.96753,26.566,35.3252
synthetic_21000_21000_avg70_std8_diagonal_0.05_n14,21000,21000,1459874,21000,21000,6088256,317.04,128,0.0582875,0.455371,6.4118,26.7397,49.7247
synthetic_21000_21000_avg70_std8_diagonal_0.005_n14,21000,21000,1459874,21000,21000,7468896,411.612,128,0.0819233,0.640026,4.56192,23.3394,61.0132
synthetic_268000_268000_avg6_std0.02_random_n14,268000,268000,1474098,268000,268000,45566944,2991.17,128,2.48329,19.4007,0.151963,4.69745,375.072
synthetic_268000_268000_avg6_std0.02_diagonal_0.5_n14,268000,268000,1474098,268000,268000,8610048,484.089,128,0.143922,1.12439,2.62204,15.315,70.3774
synthetic_268000_268000_avg6_std0.02_diagonal_0.05_n14,268000,268000,1474098,268000,268000,8894688,503.399,128,0.144354,1.12776,2.6142,15.774,72.7039
synthetic_268000_268000_avg6_std0.02_diagonal_0.005_n14,268000,268000,1474098,268000,268000,11722816,695.254,128,0.145137,1.13388,2.60009,20.6773,95.822
synthetic_161000_161000_avg10_std3_random_n14,161000,161000,1529047,161000,161000,43512608,2745.73,128,1.15882,9.05326,0.337789,9.61258,356.337
synthetic_161000_161000_avg10_std3_diagonal_0.5_n14,161000,161000,1529047,161000,161000,6334368,314.269,128,0.0884523,0.691034,4.42539,18.333,51.7889
synthetic_161000_161000_avg10_std3_diagonal_0.05_n14,161000,161000,1529047,161000,161000,8434176,451.597,128,0.0888659,0.694265,4.40479,24.2967,68.9338
