filename	nr_rows	nr_cols	nr_nnz	density	mem_footprint	 	time1
synthetic_4000_4000_617986_avg155_std0.02_random_g14.mtx	4000	4000	617986	3.8624	4.73	 	0.0014
synthetic_4000_4000_617986_avg155_std0.09_random_g14.mtx	4000	4000	617986	3.8624	4.73	 	0.0015
synthetic_4000_4000_617986_avg155_std0.2_random_g14.mtx	4000	4000	617986	3.8624	4.73	 	0.0016
synthetic_4000_4000_617985_avg155_std0.25_random_g14.mtx	4000	4000	617985	3.8624	4.73	 	0.0017
synthetic_4000_4000_617984_avg155_std0.3_random_g14.mtx	4000	4000	617984	3.8624	4.73	 	0.0015
synthetic_4000_4000_617978_avg155_std0.39_random_g14.mtx	4000	4000	617978	3.8624	4.73	 	0.0015
synthetic_4000_4000_617978_avg155_std0.43_random_g14.mtx	4000	4000	617978	3.8624	4.73	 	0.0015
synthetic_4000_4000_617965_avg155_std0.55_random_g14.mtx	4000	4000	617965	3.8623	4.73	 	0.0015
synthetic_4000_4000_617960_avg155_std0.64_random_g14.mtx	4000	4000	617960	3.8622	4.73	 	0.0017
synthetic_4000_4000_617933_avg155_std0.72_random_g14.mtx	4000	4000	617933	3.8621	4.73	 	0.0015
synthetic_4000_4000_617949_avg155_std0.78_random_g14.mtx	4000	4000	617949	3.8622	4.73	 	0.0015
synthetic_4000_4000_617924_avg155_std0.84_random_g14.mtx	4000	4000	617924	3.862	4.73	 	0.0015
synthetic_4000_4000_617903_avg155_std0.98_random_g14.mtx	4000	4000	617903	3.8619	4.729	 	0.0015
synthetic_4000_4000_617892_avg155_std1.14_random_g14.mtx	4000	4000	617892	3.8618	4.729	 	0.0017
synthetic_4000_4000_617888_avg155_std1.32_random_g14.mtx	4000	4000	617888	3.8618	4.729	 	0.0015
synthetic_4000_4000_617855_avg155_std1.5_random_g14.mtx	4000	4000	617855	3.8616	4.729	 	0.0015
synthetic_4000_4000_617837_avg155_std1.6_random_g14.mtx	4000	4000	617837	3.8615	4.729	 	0.0015
synthetic_4000_4000_617780_avg155_std2.25_random_g14.mtx	4000	4000	617780	3.8611	4.729	 	0.0015
synthetic_4000_4000_617723_avg155_std2.5_random_g14.mtx	4000	4000	617723	3.8608	4.728	 	0.0015
synthetic_4000_4000_617685_avg155_std3_random_g14.mtx	4000	4000	617685	3.8605	4.728	 	0.0015
synthetic_4000_4000_617182_avg155_std8_random_g14.mtx	4000	4000	617182	3.8574	4.724	 	0.0015
synthetic_4000_4000_616718_avg155_std13_random_g14.mtx	4000	4000	616718	3.8545	4.72	 	0.0015
synthetic_4000_4000_608475_avg155_std125_random_g14.mtx	4000	4000	608475	3.803	4.658	 	0.0016
synthetic_4000_4000_877986_avg220_std0.02_random_g14.mtx	4000	4000	877986	5.4874	6.714	 	0.0017
synthetic_4000_4000_877986_avg220_std0.09_random_g14.mtx	4000	4000	877986	5.4874	6.714	 	0.0015
synthetic_4000_4000_877986_avg220_std0.2_random_g14.mtx	4000	4000	877986	5.4874	6.714	 	0.0015
synthetic_4000_4000_877986_avg220_std0.25_random_g14.mtx	4000	4000	877986	5.4874	6.714	 	0.0015
synthetic_4000_4000_877985_avg220_std0.3_random_g14.mtx	4000	4000	877985	5.4874	6.714	 	0.0015
synthetic_4000_4000_877977_avg220_std0.39_random_g14.mtx	4000	4000	877977	5.4874	6.714	 	0.0015
synthetic_4000_4000_877978_avg220_std0.43_random_g14.mtx	4000	4000	877978	5.4874	6.714	 	0.0015
synthetic_4000_4000_877967_avg220_std0.55_random_g14.mtx	4000	4000	877967	5.4873	6.714	 	0.0015
synthetic_4000_4000_877961_avg220_std0.64_random_g14.mtx	4000	4000	877961	5.4873	6.714	 	0.0015
synthetic_4000_4000_877933_avg220_std0.72_random_g14.mtx	4000	4000	877933	5.4871	6.713	 	0.0015
synthetic_4000_4000_877949_avg220_std0.78_random_g14.mtx	4000	4000	877949	5.4872	6.713	 	0.0017
synthetic_4000_4000_877925_avg220_std0.84_random_g14.mtx	4000	4000	877925	5.487	6.713	 	0.0015
synthetic_4000_4000_877903_avg220_std0.98_random_g14.mtx	4000	4000	877903	5.4869	6.713	 	0.0015
synthetic_4000_4000_877891_avg220_std1.14_random_g14.mtx	4000	4000	877891	5.4868	6.713	 	0.0015
synthetic_4000_4000_877891_avg220_std1.32_random_g14.mtx	4000	4000	877891	5.4868	6.713	 	0.0015
synthetic_4000_4000_877851_avg220_std1.5_random_g14.mtx	4000	4000	877851	5.4866	6.713	 	0.0017
synthetic_4000_4000_877834_avg220_std1.6_random_g14.mtx	4000	4000	877834	5.4865	6.713	 	0.0015
synthetic_4000_4000_877783_avg220_std2.25_random_g14.mtx	4000	4000	877783	5.4861	6.712	 	0.0015
synthetic_4000_4000_877726_avg220_std2.5_random_g14.mtx	4000	4000	877726	5.4858	6.712	 	0.0015
synthetic_4000_4000_877691_avg220_std3_random_g14.mtx	4000	4000	877691	5.4856	6.712	 	0.0015
synthetic_4000_4000_877197_avg220_std8_random_g14.mtx	4000	4000	877197	5.4825	6.708	 	0.0015
synthetic_4000_4000_876698_avg220_std13_random_g14.mtx	4000	4000	876698	5.4794	6.704	 	0.0015
synthetic_4000_4000_867818_avg220_std125_random_g14.mtx	4000	4000	867818	5.4239	6.636	 	0.0016
synthetic_21000_21000_808564_avg39_std0.02_random_g14.mtx	21000	21000	808564	0.1833	6.249	 	0.0071
synthetic_21000_21000_808559_avg39_std0.09_random_g14.mtx	21000	21000	808559	0.1833	6.249	 	0.0072
synthetic_21000_21000_808547_avg39_std0.2_random_g14.mtx	21000	21000	808547	0.1833	6.249	 	0.0072
synthetic_21000_21000_808544_avg39_std0.25_random_g14.mtx	21000	21000	808544	0.1833	6.249	 	0.0072
synthetic_21000_21000_808537_avg39_std0.3_random_g14.mtx	21000	21000	808537	0.1833	6.249	 	0.0072
synthetic_21000_21000_808524_avg39_std0.39_random_g14.mtx	21000	21000	808524	0.1833	6.249	 	0.0072
synthetic_21000_21000_808521_avg39_std0.43_random_g14.mtx	21000	21000	808521	0.1833	6.249	 	0.0072
synthetic_21000_21000_808544_avg39_std0.55_random_g14.mtx	21000	21000	808544	0.1833	6.249	 	0.0072
synthetic_21000_21000_808534_avg39_std0.64_random_g14.mtx	21000	21000	808534	0.1833	6.249	 	0.0072
synthetic_21000_21000_808468_avg39_std0.72_random_g14.mtx	21000	21000	808468	0.1833	6.248	 	0.0072
synthetic_21000_21000_808471_avg39_std0.78_random_g14.mtx	21000	21000	808471	0.1833	6.248	 	0.0072
synthetic_21000_21000_808473_avg39_std0.84_random_g14.mtx	21000	21000	808473	0.1833	6.248	 	0.0072
synthetic_21000_21000_808545_avg39_std0.98_random_g14.mtx	21000	21000	808545	0.1833	6.249	 	0.0072
synthetic_21000_21000_808569_avg39_std1.14_random_g14.mtx	21000	21000	808569	0.1833	6.249	 	0.007
synthetic_21000_21000_808573_avg39_std1.32_random_g14.mtx	21000	21000	808573	0.1833	6.249	 	0.0072
synthetic_21000_21000_808510_avg39_std1.5_random_g14.mtx	21000	21000	808510	0.1833	6.249	 	0.0072
synthetic_21000_21000_808502_avg39_std1.6_random_g14.mtx	21000	21000	808502	0.1833	6.248	 	0.0072
synthetic_21000_21000_808561_avg39_std2.25_random_g14.mtx	21000	21000	808561	0.1833	6.249	 	0.0072
synthetic_21000_21000_808574_avg39_std2.5_random_g14.mtx	21000	21000	808574	0.1834	6.249	 	0.0072
synthetic_21000_21000_808624_avg39_std3_random_g14.mtx	21000	21000	808624	0.1834	6.249	 	0.0072
synthetic_21000_21000_808781_avg39_std8_random_g14.mtx	21000	21000	808781	0.1834	6.251	 	0.0072
synthetic_21000_21000_808897_avg39_std13_random_g14.mtx	21000	21000	808897	0.1834	6.252	 	0.0072
synthetic_21000_21000_807101_avg39_std125_random_g14.mtx	21000	21000	807101	0.183	6.238	 	0.0089
synthetic_21000_21000_934564_avg45_std0.02_random_g14.mtx	21000	21000	934564	0.2119	7.21	 	0.0072
synthetic_21000_21000_934559_avg45_std0.09_random_g14.mtx	21000	21000	934559	0.2119	7.21	 	0.0072
