filename	nr_rows	nr_cols	nr_nnz	density	mem_footprint	 	time1
synthetic_21000_21000_4609547_avg220_std0.02_random_n14.mtx	21000	21000	4609547	1.0452	35.248	 	0.007
synthetic_21000_21000_4609547_avg220_std0.09_random_n14.mtx	21000	21000	4609547	1.0452	35.248	 	0.0054
synthetic_21000_21000_4609547_avg220_std0.2_random_n14.mtx	21000	21000	4609547	1.0452	35.248	 	0.0065
synthetic_21000_21000_4609548_avg220_std0.25_random_n14.mtx	21000	21000	4609548	1.0452	35.248	 	0.0063
synthetic_21000_21000_4609542_avg220_std0.3_random_n14.mtx	21000	21000	4609542	1.0452	35.248	 	0.0061
synthetic_21000_21000_4609540_avg220_std0.39_random_n14.mtx	21000	21000	4609540	1.0452	35.248	 	0.0066
synthetic_21000_21000_4609541_avg220_std0.43_random_n14.mtx	21000	21000	4609541	1.0452	35.248	 	0.0055
synthetic_21000_21000_4609570_avg220_std0.55_random_n14.mtx	21000	21000	4609570	1.0453	35.248	 	0.006
synthetic_21000_21000_4609570_avg220_std0.64_random_n14.mtx	21000	21000	4609570	1.0453	35.248	 	0.0053
synthetic_21000_21000_4609526_avg220_std0.72_random_n14.mtx	21000	21000	4609526	1.0452	35.248	 	0.0051
synthetic_21000_21000_4609556_avg220_std0.78_random_n14.mtx	21000	21000	4609556	1.0453	35.248	 	0.0056
synthetic_21000_21000_4609579_avg220_std0.84_random_n14.mtx	21000	21000	4609579	1.0453	35.248	 	0.0056
synthetic_21000_21000_4609642_avg220_std0.98_random_n14.mtx	21000	21000	4609642	1.0453	35.249	 	0.0063
synthetic_21000_21000_4609598_avg220_std1.14_random_n14.mtx	21000	21000	4609598	1.0453	35.249	 	0.0054
synthetic_21000_21000_4609519_avg220_std1.32_random_n14.mtx	21000	21000	4609519	1.0452	35.248	 	0.005
synthetic_21000_21000_4609518_avg220_std1.5_random_n14.mtx	21000	21000	4609518	1.0452	35.248	 	0.0062
synthetic_21000_21000_4609545_avg220_std1.6_random_n14.mtx	21000	21000	4609545	1.0452	35.248	 	0.0054
synthetic_21000_21000_4609569_avg220_std2.25_random_n14.mtx	21000	21000	4609569	1.0453	35.248	 	0.006
synthetic_21000_21000_4609618_avg220_std2.5_random_n14.mtx	21000	21000	4609618	1.0453	35.249	 	0.006
synthetic_21000_21000_4609680_avg220_std3_random_n14.mtx	21000	21000	4609680	1.0453	35.249	 	0.0053
synthetic_21000_21000_4609874_avg220_std8_random_n14.mtx	21000	21000	4609874	1.0453	35.251	 	0.0061
synthetic_21000_21000_4610033_avg220_std13_random_n14.mtx	21000	21000	4610033	1.0454	35.252	 	0.0053
synthetic_21000_21000_4699630_avg220_std125_random_n14.mtx	21000	21000	4699630	1.0657	35.935	 	0.0059
synthetic_38000_38000_4273110_avg65_std125_random_n14.mtx	38000	38000	4273110	0.2959	32.746	 	0.0091
synthetic_38000_38000_4349990_avg70_std125_random_n14.mtx	38000	38000	4349990	0.3012	33.333	 	0.0096
synthetic_38000_38000_4519844_avg80_std125_random_n14.mtx	38000	38000	4519844	0.313	34.629	 	0.0094
synthetic_38000_38000_5028931_avg105_std125_random_n14.mtx	38000	38000	5028931	0.3483	38.513	 	0.0111
synthetic_38000_38000_4541037_avg120_std0.02_random_n14.mtx	38000	38000	4541037	0.3145	34.79	 	0.0106
synthetic_38000_38000_4541037_avg120_std0.09_random_n14.mtx	38000	38000	4541037	0.3145	34.79	 	0.0101
synthetic_38000_38000_4541037_avg120_std0.2_random_n14.mtx	38000	38000	4541037	0.3145	34.79	 	0.0102
synthetic_38000_38000_4541038_avg120_std0.25_random_n14.mtx	38000	38000	4541038	0.3145	34.79	 	0.0095
synthetic_38000_38000_4541031_avg120_std0.3_random_n14.mtx	38000	38000	4541031	0.3145	34.79	 	0.0097
synthetic_38000_38000_4541000_avg120_std0.39_random_n14.mtx	38000	38000	4541000	0.3145	34.79	 	0.0097
synthetic_38000_38000_4541016_avg120_std0.43_random_n14.mtx	38000	38000	4541016	0.3145	34.79	 	0.0098
synthetic_38000_38000_4541082_avg120_std0.55_random_n14.mtx	38000	38000	4541082	0.3145	34.791	 	0.0094
synthetic_38000_38000_4541092_avg120_std0.64_random_n14.mtx	38000	38000	4541092	0.3145	34.791	 	0.0105
synthetic_38000_38000_4541001_avg120_std0.72_random_n14.mtx	38000	38000	4541001	0.3145	34.79	 	0.0094
synthetic_38000_38000_4540936_avg120_std0.78_random_n14.mtx	38000	38000	4540936	0.3145	34.79	 	0.0103
synthetic_38000_38000_4541008_avg120_std0.84_random_n14.mtx	38000	38000	4541008	0.3145	34.79	 	0.0097
synthetic_38000_38000_4541018_avg120_std0.98_random_n14.mtx	38000	38000	4541018	0.3145	34.79	 	0.0104
synthetic_38000_38000_4541022_avg120_std1.14_random_n14.mtx	38000	38000	4541022	0.3145	34.79	 	0.0094
synthetic_38000_38000_4541024_avg120_std1.32_random_n14.mtx	38000	38000	4541024	0.3145	34.79	 	0.0098
synthetic_38000_38000_4540921_avg120_std1.5_random_n14.mtx	38000	38000	4540921	0.3145	34.789	 	0.0098
synthetic_38000_38000_4540927_avg120_std1.6_random_n14.mtx	38000	38000	4540927	0.3145	34.789	 	0.0088
synthetic_38000_38000_4540879_avg120_std2.25_random_n14.mtx	38000	38000	4540879	0.3145	34.789	 	0.0092
synthetic_38000_38000_4540963_avg120_std2.5_random_n14.mtx	38000	38000	4540963	0.3145	34.79	 	0.009
synthetic_38000_38000_4540922_avg120_std3_random_n14.mtx	38000	38000	4540922	0.3145	34.789	 	0.0098
synthetic_38000_38000_4540724_avg120_std8_random_n14.mtx	38000	38000	4540724	0.3145	34.788	 	0.0099
synthetic_38000_38000_4540509_avg120_std13_random_n14.mtx	38000	38000	4540509	0.3144	34.786	 	0.0094
synthetic_38000_38000_5387399_avg120_std125_random_n14.mtx	38000	38000	5387399	0.3731	41.248	 	0.0103
synthetic_38000_38000_5871037_avg155_std0.02_random_n14.mtx	38000	38000	5871037	0.4066	44.937	 	0.0092
synthetic_38000_38000_5871037_avg155_std0.09_random_n14.mtx	38000	38000	5871037	0.4066	44.937	 	0.009
synthetic_38000_38000_5871037_avg155_std0.2_random_n14.mtx	38000	38000	5871037	0.4066	44.937	 	0.0093
synthetic_38000_38000_5871038_avg155_std0.25_random_n14.mtx	38000	38000	5871038	0.4066	44.937	 	0.0087
synthetic_38000_38000_5871031_avg155_std0.3_random_n14.mtx	38000	38000	5871031	0.4066	44.937	 	0.0087
synthetic_38000_38000_5871000_avg155_std0.39_random_n14.mtx	38000	38000	5871000	0.4066	44.937	 	0.0087
synthetic_38000_38000_5871016_avg155_std0.43_random_n14.mtx	38000	38000	5871016	0.4066	44.937	 	0.0086
synthetic_38000_38000_5871082_avg155_std0.55_random_n14.mtx	38000	38000	5871082	0.4066	44.938	 	0.0098
synthetic_38000_38000_5871092_avg155_std0.64_random_n14.mtx	38000	38000	5871092	0.4066	44.938	 	0.0087
synthetic_38000_38000_5871001_avg155_std0.72_random_n14.mtx	38000	38000	5871001	0.4066	44.937	 	0.0093
synthetic_38000_38000_5870936_avg155_std0.78_random_n14.mtx	38000	38000	5870936	0.4066	44.937	 	0.0089
