filename	nr_rows	nr_cols	nr_nnz	density	mem_footprint	 	time1
synthetic_21000_21000_4609564_avg220_std0.02_random_g14.mtx	21000	21000	4609564	1.0453	35.248	 	0.0071
synthetic_21000_21000_4609564_avg220_std0.09_random_g14.mtx	21000	21000	4609564	1.0453	35.248	 	0.0071
synthetic_21000_21000_4609563_avg220_std0.2_random_g14.mtx	21000	21000	4609563	1.0453	35.248	 	0.0071
synthetic_21000_21000_4609563_avg220_std0.25_random_g14.mtx	21000	21000	4609563	1.0453	35.248	 	0.0071
synthetic_21000_21000_4609557_avg220_std0.3_random_g14.mtx	21000	21000	4609557	1.0453	35.248	 	0.0071
synthetic_21000_21000_4609541_avg220_std0.39_random_g14.mtx	21000	21000	4609541	1.0452	35.248	 	0.0071
synthetic_21000_21000_4609537_avg220_std0.43_random_g14.mtx	21000	21000	4609537	1.0452	35.248	 	0.0071
synthetic_21000_21000_4609552_avg220_std0.55_random_g14.mtx	21000	21000	4609552	1.0452	35.248	 	0.0071
synthetic_21000_21000_4609543_avg220_std0.64_random_g14.mtx	21000	21000	4609543	1.0452	35.248	 	0.0071
synthetic_21000_21000_4609478_avg220_std0.72_random_g14.mtx	21000	21000	4609478	1.0452	35.248	 	0.0071
synthetic_21000_21000_4609474_avg220_std0.78_random_g14.mtx	21000	21000	4609474	1.0452	35.248	 	0.0071
synthetic_21000_21000_4609486_avg220_std0.84_random_g14.mtx	21000	21000	4609486	1.0452	35.248	 	0.0071
synthetic_21000_21000_4609551_avg220_std0.98_random_g14.mtx	21000	21000	4609551	1.0452	35.248	 	0.0071
synthetic_21000_21000_4609569_avg220_std1.14_random_g14.mtx	21000	21000	4609569	1.0453	35.248	 	0.0071
synthetic_21000_21000_4609586_avg220_std1.32_random_g14.mtx	21000	21000	4609586	1.0453	35.248	 	0.0071
synthetic_21000_21000_4609519_avg220_std1.5_random_g14.mtx	21000	21000	4609519	1.0452	35.248	 	0.0071
synthetic_21000_21000_4609533_avg220_std1.6_random_g14.mtx	21000	21000	4609533	1.0452	35.248	 	0.0071
synthetic_21000_21000_4609563_avg220_std2.25_random_g14.mtx	21000	21000	4609563	1.0453	35.248	 	0.0071
synthetic_21000_21000_4609562_avg220_std2.5_random_g14.mtx	21000	21000	4609562	1.0453	35.248	 	0.0071
synthetic_21000_21000_4609573_avg220_std3_random_g14.mtx	21000	21000	4609573	1.0453	35.248	 	0.0071
synthetic_21000_21000_4609787_avg220_std8_random_g14.mtx	21000	21000	4609787	1.0453	35.25	 	0.0071
synthetic_21000_21000_4609992_avg220_std13_random_g14.mtx	21000	21000	4609992	1.0453	35.252	 	0.0071
synthetic_21000_21000_4610999_avg220_std125_random_g14.mtx	21000	21000	4610999	1.0456	35.259	 	0.0075
synthetic_38000_38000_4540978_avg120_std0.02_random_g14.mtx	38000	38000	4540978	0.3145	34.79	 	0.0126
synthetic_38000_38000_4540976_avg120_std0.09_random_g14.mtx	38000	38000	4540976	0.3145	34.79	 	0.0127
synthetic_38000_38000_4540971_avg120_std0.2_random_g14.mtx	38000	38000	4540971	0.3145	34.79	 	0.0126
synthetic_38000_38000_4540971_avg120_std0.25_random_g14.mtx	38000	38000	4540971	0.3145	34.79	 	0.0126
synthetic_38000_38000_4540968_avg120_std0.3_random_g14.mtx	38000	38000	4540968	0.3145	34.79	 	0.0126
synthetic_38000_38000_4540950_avg120_std0.39_random_g14.mtx	38000	38000	4540950	0.3145	34.79	 	0.0126
synthetic_38000_38000_4540941_avg120_std0.43_random_g14.mtx	38000	38000	4540941	0.3145	34.79	 	0.0127
synthetic_38000_38000_4541009_avg120_std0.55_random_g14.mtx	38000	38000	4541009	0.3145	34.79	 	0.0126
synthetic_38000_38000_4540959_avg120_std0.64_random_g14.mtx	38000	38000	4540959	0.3145	34.79	 	0.0126
synthetic_38000_38000_4540901_avg120_std0.72_random_g14.mtx	38000	38000	4540901	0.3145	34.789	 	0.0126
synthetic_38000_38000_4540874_avg120_std0.78_random_g14.mtx	38000	38000	4540874	0.3145	34.789	 	0.0126
synthetic_38000_38000_4540881_avg120_std0.84_random_g14.mtx	38000	38000	4540881	0.3145	34.789	 	0.0126
synthetic_38000_38000_4540994_avg120_std0.98_random_g14.mtx	38000	38000	4540994	0.3145	34.79	 	0.0126
synthetic_38000_38000_4541011_avg120_std1.14_random_g14.mtx	38000	38000	4541011	0.3145	34.79	 	0.0126
synthetic_38000_38000_4541031_avg120_std1.32_random_g14.mtx	38000	38000	4541031	0.3145	34.79	 	0.0126
synthetic_38000_38000_4540960_avg120_std1.5_random_g14.mtx	38000	38000	4540960	0.3145	34.79	 	0.0126
synthetic_38000_38000_4540955_avg120_std1.6_random_g14.mtx	38000	38000	4540955	0.3145	34.79	 	0.0126
synthetic_38000_38000_4540869_avg120_std2.25_random_g14.mtx	38000	38000	4540869	0.3145	34.789	 	0.0126
synthetic_38000_38000_4540818_avg120_std2.5_random_g14.mtx	38000	38000	4540818	0.3145	34.789	 	0.0127
synthetic_38000_38000_4540852_avg120_std3_random_g14.mtx	38000	38000	4540852	0.3145	34.789	 	0.0126
synthetic_38000_38000_4540619_avg120_std8_random_g14.mtx	38000	38000	4540619	0.3144	34.787	 	0.0127
synthetic_38000_38000_4540472_avg120_std13_random_g14.mtx	38000	38000	4540472	0.3144	34.786	 	0.0127
synthetic_38000_38000_4536827_avg120_std125_random_g14.mtx	38000	38000	4536827	0.3142	34.758	 	0.0169
synthetic_38000_38000_5870978_avg155_std0.02_random_g14.mtx	38000	38000	5870978	0.4066	44.937	 	0.0127
synthetic_38000_38000_5870978_avg155_std0.09_random_g14.mtx	38000	38000	5870978	0.4066	44.937	 	0.0127
synthetic_38000_38000_5870975_avg155_std0.2_random_g14.mtx	38000	38000	5870975	0.4066	44.937	 	0.0127
synthetic_38000_38000_5870971_avg155_std0.25_random_g14.mtx	38000	38000	5870971	0.4066	44.937	 	0.0127
synthetic_38000_38000_5870968_avg155_std0.3_random_g14.mtx	38000	38000	5870968	0.4066	44.937	 	0.0127
synthetic_38000_38000_5870955_avg155_std0.39_random_g14.mtx	38000	38000	5870955	0.4066	44.937	 	0.0127
synthetic_38000_38000_5870942_avg155_std0.43_random_g14.mtx	38000	38000	5870942	0.4066	44.937	 	0.0127
synthetic_38000_38000_5871011_avg155_std0.55_random_g14.mtx	38000	38000	5871011	0.4066	44.937	 	0.0127
