filename	nr_rows	nr_cols	nr_nnz	density	mem_footprint	 	time1
synthetic_4000_4000_532966_avg105_std125_random_n14.mtx	4000	4000	532966	3.331	4.081	 	0.001
synthetic_4000_4000_569837_avg120_std125_random_n14.mtx	4000	4000	569837	3.5615	4.363	 	0.001
synthetic_4000_4000_618010_avg155_std0.02_random_n14.mtx	4000	4000	618010	3.8626	4.73	 	0.0018
synthetic_4000_4000_618010_avg155_std0.09_random_n14.mtx	4000	4000	618010	3.8626	4.73	 	0.0015
synthetic_4000_4000_618010_avg155_std0.2_random_n14.mtx	4000	4000	618010	3.8626	4.73	 	0.0024
synthetic_4000_4000_618010_avg155_std0.25_random_n14.mtx	4000	4000	618010	3.8626	4.73	 	0.0019
synthetic_4000_4000_618008_avg155_std0.3_random_n14.mtx	4000	4000	618008	3.8626	4.73	 	0.0019
synthetic_4000_4000_618008_avg155_std0.39_random_n14.mtx	4000	4000	618008	3.8626	4.73	 	0.0017
synthetic_4000_4000_618005_avg155_std0.43_random_n14.mtx	4000	4000	618005	3.8625	4.73	 	0.0019
synthetic_4000_4000_617994_avg155_std0.55_random_n14.mtx	4000	4000	617994	3.8625	4.73	 	0.0019
synthetic_4000_4000_618007_avg155_std0.64_random_n14.mtx	4000	4000	618007	3.8625	4.73	 	0.0019
synthetic_4000_4000_617997_avg155_std0.72_random_n14.mtx	4000	4000	617997	3.8625	4.73	 	0.0018
synthetic_4000_4000_618008_avg155_std0.78_random_n14.mtx	4000	4000	618008	3.8626	4.73	 	0.0019
synthetic_4000_4000_617997_avg155_std0.84_random_n14.mtx	4000	4000	617997	3.8625	4.73	 	0.0015
synthetic_4000_4000_617970_avg155_std0.98_random_n14.mtx	4000	4000	617970	3.8623	4.73	 	0.0014
synthetic_4000_4000_617978_avg155_std1.14_random_n14.mtx	4000	4000	617978	3.8624	4.73	 	0.0016
synthetic_4000_4000_617984_avg155_std1.32_random_n14.mtx	4000	4000	617984	3.8624	4.73	 	0.0019
synthetic_4000_4000_617960_avg155_std1.5_random_n14.mtx	4000	4000	617960	3.8622	4.73	 	0.0018
synthetic_4000_4000_617943_avg155_std1.6_random_n14.mtx	4000	4000	617943	3.8621	4.73	 	0.0017
synthetic_4000_4000_617950_avg155_std2.25_random_n14.mtx	4000	4000	617950	3.8622	4.73	 	0.0019
synthetic_4000_4000_617912_avg155_std2.5_random_n14.mtx	4000	4000	617912	3.862	4.73	 	0.0017
synthetic_4000_4000_617918_avg155_std3_random_n14.mtx	4000	4000	617918	3.862	4.73	 	0.0017
synthetic_4000_4000_617735_avg155_std8_random_n14.mtx	4000	4000	617735	3.8608	4.728	 	0.002
synthetic_4000_4000_617565_avg155_std13_random_n14.mtx	4000	4000	617565	3.8598	4.727	 	0.0019
synthetic_4000_4000_670485_avg155_std125_random_n14.mtx	4000	4000	670485	4.1905	5.131	 	0.0019
synthetic_4000_4000_878010_avg220_std0.02_random_n14.mtx	4000	4000	878010	5.4876	6.714	 	0.0018
synthetic_4000_4000_878010_avg220_std0.09_random_n14.mtx	4000	4000	878010	5.4876	6.714	 	0.0011
