filename	nr_rows	nr_cols	nr_nnz	density	mem_footprint	 	time1	time2
artificial_83000_83000_215758499_mu_2600_std_0.02_random_s14_n.mtx	83000	83000	215758499	3.1319	2469.477	 	0.0426	1
artificial_83000_83000_215758499_mu_2600_std_0.09_random_s14_n.mtx	83000	83000	215758499	3.1319	2469.477	 	0.0434	1
artificial_83000_83000_215758499_mu_2600_std_0.2_random_s14_n.mtx	83000	83000	215758499	3.1319	2469.477	 	0.045	1
artificial_83000_83000_215758499_mu_2600_std_0.25_random_s14_n.mtx	83000	83000	215758499	3.1319	2469.477	 	0.042	1
artificial_83000_83000_215758486_mu_2600_std_0.3_random_s14_n.mtx	83000	83000	215758486	3.1319	2469.477	 	0.0422	1
artificial_83000_83000_215758429_mu_2600_std_0.39_random_s14_n.mtx	83000	83000	215758429	3.1319	2469.476	 	0.0432	1
artificial_83000_83000_215758442_mu_2600_std_0.43_random_s14_n.mtx	83000	83000	215758442	3.1319	2469.476	 	0.0419	1
artificial_83000_83000_215758588_mu_2600_std_0.55_random_s14_n.mtx	83000	83000	215758588	3.1319	2469.478	 	0.0446	1
artificial_83000_83000_215758598_mu_2600_std_0.64_random_s14_n.mtx	83000	83000	215758598	3.1319	2469.478	 	0.0433	1
artificial_83000_83000_215758509_mu_2600_std_0.72_random_s14_n.mtx	83000	83000	215758509	3.1319	2469.477	 	0.0423	1
artificial_83000_83000_215758399_mu_2600_std_0.78_random_s14_n.mtx	83000	83000	215758399	3.1319	2469.476	 	0.0414	1
artificial_83000_83000_215758438_mu_2600_std_0.84_random_s14_n.mtx	83000	83000	215758438	3.1319	2469.476	 	0.0436	1
artificial_83000_83000_215758514_mu_2600_std_0.98_random_s14_n.mtx	83000	83000	215758514	3.1319	2469.477	 	0.0435	1
artificial_83000_83000_215758551_mu_2600_std_1.14_random_s14_n.mtx	83000	83000	215758551	3.1319	2469.477	 	0.0426	1
artificial_83000_83000_215758665_mu_2600_std_1.32_random_s14_n.mtx	83000	83000	215758665	3.1319	2469.479	 	0.0426	1
artificial_83000_83000_215758461_mu_2600_std_1.5_random_s14_n.mtx	83000	83000	215758461	3.1319	2469.476	 	0.0421	1
artificial_83000_83000_215758461_mu_2600_std_1.6_random_s14_n.mtx	83000	83000	215758461	3.1319	2469.476	 	0.0429	1
artificial_83000_83000_215758356_mu_2600_std_2.25_random_s14_n.mtx	83000	83000	215758356	3.1319	2469.475	 	0.0452	1
artificial_83000_83000_215758334_mu_2600_std_2.5_random_s14_n.mtx	83000	83000	215758334	3.1319	2469.475	 	0.0411	1
artificial_83000_83000_215758430_mu_2600_std_3_random_s14_n.mtx	83000	83000	215758430	3.1319	2469.476	 	0.0422	1
artificial_83000_83000_215758146_mu_2600_std_8_random_s14_n.mtx	83000	83000	215758146	3.1319	2469.473	 	0.0419	1
artificial_83000_83000_215758032_mu_2600_std_13_random_s14_n.mtx	83000	83000	215758032	3.1319	2469.471	 	0.0427	1
artificial_83000_83000_215752753_mu_2600_std_125_random_s14_n.mtx	83000	83000	215752753	3.1318	2469.411	 	0.0438	1
artificial_121000_121000_314539459_mu_2600_std_0.02_random_s14_n.mtx	121000	121000	314539459	2.1483	3600.08	 	0.0649	1
artificial_121000_121000_314539459_mu_2600_std_0.09_random_s14_n.mtx	121000	121000	314539459	2.1483	3600.08	 	0.0622	1
artificial_121000_121000_314539459_mu_2600_std_0.2_random_s14_n.mtx	121000	121000	314539459	2.1483	3600.08	 	0.0621	1
artificial_121000_121000_314539457_mu_2600_std_0.25_random_s14_n.mtx	121000	121000	314539457	2.1483	3600.08	 	0.0624	1
artificial_121000_121000_314539444_mu_2600_std_0.3_random_s14_n.mtx	121000	121000	314539444	2.1483	3600.08	 	0.0645	1
artificial_121000_121000_314539348_mu_2600_std_0.39_random_s14_n.mtx	121000	121000	314539348	2.1483	3600.079	 	0.0621	1
artificial_121000_121000_314539369_mu_2600_std_0.43_random_s14_n.mtx	121000	121000	314539369	2.1483	3600.079	 	0.0604	1
artificial_121000_121000_314539423_mu_2600_std_0.55_random_s14_n.mtx	121000	121000	314539423	2.1483	3600.08	 	0.0614	1
artificial_121000_121000_314539457_mu_2600_std_0.64_random_s14_n.mtx	121000	121000	314539457	2.1483	3600.08	 	0.0641	1
artificial_121000_121000_314539370_mu_2600_std_0.72_random_s14_n.mtx	121000	121000	314539370	2.1483	3600.079	 	0.0616	1
artificial_121000_121000_314539234_mu_2600_std_0.78_random_s14_n.mtx	121000	121000	314539234	2.1483	3600.077	 	0.0607	1
artificial_121000_121000_314539291_mu_2600_std_0.84_random_s14_n.mtx	121000	121000	314539291	2.1483	3600.078	 	0.0625	1
artificial_121000_121000_314539361_mu_2600_std_0.98_random_s14_n.mtx	121000	121000	314539361	2.1483	3600.079	 	0.065	1
artificial_121000_121000_314539321_mu_2600_std_1.14_random_s14_n.mtx	121000	121000	314539321	2.1483	3600.078	 	0.0625	1
artificial_121000_121000_314539452_mu_2600_std_1.32_random_s14_n.mtx	121000	121000	314539452	2.1483	3600.08	 	0.0624	1
artificial_121000_121000_314539168_mu_2600_std_1.5_random_s14_n.mtx	121000	121000	314539168	2.1483	3600.077	 	0.0624	1
artificial_121000_121000_314539119_mu_2600_std_1.6_random_s14_n.mtx	121000	121000	314539119	2.1483	3600.076	 	0.0644	1
artificial_121000_121000_314538865_mu_2600_std_2.25_random_s14_n.mtx	121000	121000	314538865	2.1483	3600.073	 	0.0613	1
artificial_121000_121000_314538853_mu_2600_std_2.5_random_s14_n.mtx	121000	121000	314538853	2.1483	3600.073	 	0.0619	1
artificial_121000_121000_314538873_mu_2600_std_3_random_s14_n.mtx	121000	121000	314538873	2.1483	3600.073	 	0.0633	1
artificial_121000_121000_314537636_mu_2600_std_8_random_s14_n.mtx	121000	121000	314537636	2.1483	3600.059	 	0.065	1
artificial_121000_121000_314536601_mu_2600_std_13_random_s14_n.mtx	121000	121000	314536601	2.1483	3600.047	 	0.0626	1
artificial_121000_121000_314509920_mu_2600_std_125_random_s14_n.mtx	121000	121000	314509920	2.1481	3599.742	 	0.0604	1
artificial_526000_526000_220657366_mu_420_std_0.02_random_s14_n.mtx	526000	526000	220657366	0.0798	2527.23	 	0.2766	1
artificial_526000_526000_220657366_mu_420_std_0.09_random_s14_n.mtx	526000	526000	220657366	0.0798	2527.23	 	0.2712	1
artificial_526000_526000_220657366_mu_420_std_0.2_random_s14_n.mtx	526000	526000	220657366	0.0798	2527.23	 	0.2741	1
artificial_526000_526000_220657359_mu_420_std_0.25_random_s14_n.mtx	526000	526000	220657359	0.0798	2527.23	 	0.2769	1
artificial_526000_526000_220657329_mu_420_std_0.3_random_s14_n.mtx	526000	526000	220657329	0.0798	2527.229	 	0.2735	1
artificial_526000_526000_220657102_mu_420_std_0.39_random_s14_n.mtx	526000	526000	220657102	0.0798	2527.227	 	0.2754	1
artificial_526000_526000_220657156_mu_420_std_0.43_random_s14_n.mtx	526000	526000	220657156	0.0798	2527.227	 	0.2787	1
artificial_526000_526000_220657361_mu_420_std_0.55_random_s14_n.mtx	526000	526000	220657361	0.0798	2527.23	 	0.2683	1
artificial_526000_526000_220657304_mu_420_std_0.64_random_s14_n.mtx	526000	526000	220657304	0.0798	2527.229	 	0.2702	1
artificial_526000_526000_220657514_mu_420_std_0.72_random_s14_n.mtx	526000	526000	220657514	0.0798	2527.231	 	0.2699	1
artificial_526000_526000_220657369_mu_420_std_0.78_random_s14_n.mtx	526000	526000	220657369	0.0798	2527.23	 	0.2759	1
artificial_526000_526000_220657446_mu_420_std_0.84_random_s14_n.mtx	526000	526000	220657446	0.0798	2527.231	 	0.2775	1
artificial_526000_526000_220657553_mu_420_std_0.98_random_s14_n.mtx	526000	526000	220657553	0.0798	2527.232	 	0.2764	1
artificial_526000_526000_220657394_mu_420_std_1.14_random_s14_n.mtx	526000	526000	220657394	0.0798	2527.23	 	0.2785	1
artificial_526000_526000_220657122_mu_420_std_1.32_random_s14_n.mtx	526000	526000	220657122	0.0798	2527.227	 	0.2792	1
artificial_526000_526000_220657230_mu_420_std_1.5_random_s14_n.mtx	526000	526000	220657230	0.0798	2527.228	 	0.2686	1
artificial_526000_526000_220657038_mu_420_std_1.6_random_s14_n.mtx	526000	526000	220657038	0.0798	2527.226	 	0.2755	1
artificial_526000_526000_220657161_mu_420_std_2.25_random_s14_n.mtx	526000	526000	220657161	0.0798	2527.227	 	0.2764	1
artificial_526000_526000_220656775_mu_420_std_2.5_random_s14_n.mtx	526000	526000	220656775	0.0798	2527.223	 	0.2751	1
artificial_526000_526000_220657297_mu_420_std_3_random_s14_n.mtx	526000	526000	220657297	0.0798	2527.229	 	0.2754	1
artificial_526000_526000_220657629_mu_420_std_8_random_s14_n.mtx	526000	526000	220657629	0.0798	2527.233	 	0.2767	1
artificial_526000_526000_220658468_mu_420_std_13_random_s14_n.mtx	526000	526000	220658468	0.0798	2527.242	 	0.2771	1
artificial_526000_526000_220681949_mu_420_std_125_random_s14_n.mtx	526000	526000	220681949	0.0798	2527.511	 	0.2759	1
artificial_863000_863000_189428433_mu_220_std_0.02_random_s14_n.mtx	863000	863000	189428433	0.0254	2171.128	 	0.4432	1
artificial_863000_863000_189428433_mu_220_std_0.09_random_s14_n.mtx	863000	863000	189428433	0.0254	2171.128	 	0.4411	1
artificial_863000_863000_189428433_mu_220_std_0.2_random_s14_n.mtx	863000	863000	189428433	0.0254	2171.128	 	0.4422	1
artificial_863000_863000_189428422_mu_220_std_0.25_random_s14_n.mtx	863000	863000	189428422	0.0254	2171.128	 	0.438	1
artificial_863000_863000_189428419_mu_220_std_0.3_random_s14_n.mtx	863000	863000	189428419	0.0254	2171.128	 	0.4429	1
artificial_863000_863000_189428168_mu_220_std_0.39_random_s14_n.mtx	863000	863000	189428168	0.0254	2171.125	 	0.4388	1
artificial_863000_863000_189428237_mu_220_std_0.43_random_s14_n.mtx	863000	863000	189428237	0.0254	2171.126	 	0.4303	1
artificial_863000_863000_189428444_mu_220_std_0.55_random_s14_n.mtx	863000	863000	189428444	0.0254	2171.129	 	0.4482	1
artificial_863000_863000_189428370_mu_220_std_0.64_random_s14_n.mtx	863000	863000	189428370	0.0254	2171.128	 	0.4318	1
artificial_863000_863000_189428367_mu_220_std_0.72_random_s14_n.mtx	863000	863000	189428367	0.0254	2171.128	 	0.4424	1
artificial_863000_863000_189428421_mu_220_std_0.78_random_s14_n.mtx	863000	863000	189428421	0.0254	2171.128	 	0.4371	1
artificial_863000_863000_189428518_mu_220_std_0.84_random_s14_n.mtx	863000	863000	189428518	0.0254	2171.129	 	0.4427	1
artificial_863000_863000_189428443_mu_220_std_0.98_random_s14_n.mtx	863000	863000	189428443	0.0254	2171.129	 	0.4383	1
artificial_863000_863000_189428570_mu_220_std_1.14_random_s14_n.mtx	863000	863000	189428570	0.0254	2171.13	 	0.4425	1
artificial_863000_863000_189428064_mu_220_std_1.32_random_s14_n.mtx	863000	863000	189428064	0.0254	2171.124	 	0.4435	1
artificial_863000_863000_189427944_mu_220_std_1.5_random_s14_n.mtx	863000	863000	189427944	0.0254	2171.123	 	0.4399	1
