filename	nr_rows	nr_cols	nr_nnz	density	mem_footprint	 	time1	time2
artificial_21000_21000_3244564_mu_155_std_0.02_random_s14_g.mtx	21000	21000	3244564	0.7357	37.211	 	0.0111	1
artificial_21000_21000_3244564_mu_155_std_0.09_random_s14_g.mtx	21000	21000	3244564	0.7357	37.211	 	0.0111	1
artificial_21000_21000_3244563_mu_155_std_0.2_random_s14_g.mtx	21000	21000	3244563	0.7357	37.211	 	0.011	1
artificial_21000_21000_3244559_mu_155_std_0.25_random_s14_g.mtx	21000	21000	3244559	0.7357	37.211	 	0.0108	1
artificial_21000_21000_3244553_mu_155_std_0.3_random_s14_g.mtx	21000	21000	3244553	0.7357	37.211	 	0.011	1
artificial_21000_21000_3244543_mu_155_std_0.39_random_s14_g.mtx	21000	21000	3244543	0.7357	37.211	 	0.011	1
artificial_21000_21000_3244536_mu_155_std_0.43_random_s14_g.mtx	21000	21000	3244536	0.7357	37.211	 	0.0108	1
artificial_21000_21000_3244548_mu_155_std_0.55_random_s14_g.mtx	21000	21000	3244548	0.7357	37.211	 	0.011	1
artificial_21000_21000_3244540_mu_155_std_0.64_random_s14_g.mtx	21000	21000	3244540	0.7357	37.211	 	0.0107	1
artificial_21000_21000_3244475_mu_155_std_0.72_random_s14_g.mtx	21000	21000	3244475	0.7357	37.21	 	0.0111	1
artificial_21000_21000_3244469_mu_155_std_0.78_random_s14_g.mtx	21000	21000	3244469	0.7357	37.21	 	0.0108	1
artificial_21000_21000_3244483_mu_155_std_0.84_random_s14_g.mtx	21000	21000	3244483	0.7357	37.21	 	0.011	1
artificial_21000_21000_3244553_mu_155_std_0.98_random_s14_g.mtx	21000	21000	3244553	0.7357	37.211	 	0.0108	1
artificial_21000_21000_3244577_mu_155_std_1.14_random_s14_g.mtx	21000	21000	3244577	0.7357	37.211	 	0.0108	1
artificial_21000_21000_3244584_mu_155_std_1.32_random_s14_g.mtx	21000	21000	3244584	0.7357	37.211	 	0.0106	1
artificial_21000_21000_3244514_mu_155_std_1.5_random_s14_g.mtx	21000	21000	3244514	0.7357	37.211	 	0.0111	1
artificial_21000_21000_3244535_mu_155_std_1.6_random_s14_g.mtx	21000	21000	3244535	0.7357	37.211	 	0.0107	1
artificial_21000_21000_3244553_mu_155_std_2.25_random_s14_g.mtx	21000	21000	3244553	0.7357	37.211	 	0.0107	1
artificial_21000_21000_3244544_mu_155_std_2.5_random_s14_g.mtx	21000	21000	3244544	0.7357	37.211	 	0.0108	1
artificial_21000_21000_3244569_mu_155_std_3_random_s14_g.mtx	21000	21000	3244569	0.7357	37.211	 	0.0112	1
artificial_21000_21000_3244788_mu_155_std_8_random_s14_g.mtx	21000	21000	3244788	0.7358	37.214	 	0.0111	1
artificial_21000_21000_3245021_mu_155_std_13_random_s14_g.mtx	21000	21000	3245021	0.7358	37.216	 	0.0117	1
artificial_21000_21000_3250454_mu_155_std_125_random_s14_g.mtx	21000	21000	3250454	0.7371	37.279	 	0.0111	1
artificial_21000_21000_4609564_mu_220_std_0.02_random_s14_g.mtx	21000	21000	4609564	1.0453	52.832	 	0.0111	1
artificial_21000_21000_4609564_mu_220_std_0.09_random_s14_g.mtx	21000	21000	4609564	1.0453	52.832	 	0.0107	1
artificial_21000_21000_4609563_mu_220_std_0.2_random_s14_g.mtx	21000	21000	4609563	1.0453	52.832	 	0.0116	1
artificial_21000_21000_4609563_mu_220_std_0.25_random_s14_g.mtx	21000	21000	4609563	1.0453	52.832	 	0.0112	1
artificial_21000_21000_4609557_mu_220_std_0.3_random_s14_g.mtx	21000	21000	4609557	1.0453	52.832	 	0.0108	1
artificial_21000_21000_4609541_mu_220_std_0.39_random_s14_g.mtx	21000	21000	4609541	1.0452	52.832	 	0.0109	1
artificial_21000_21000_4609537_mu_220_std_0.43_random_s14_g.mtx	21000	21000	4609537	1.0452	52.832	 	0.0121	1
artificial_21000_21000_4609552_mu_220_std_0.55_random_s14_g.mtx	21000	21000	4609552	1.0452	52.832	 	0.0113	1
artificial_21000_21000_4609543_mu_220_std_0.64_random_s14_g.mtx	21000	21000	4609543	1.0452	52.832	 	0.0115	1
artificial_21000_21000_4609478_mu_220_std_0.72_random_s14_g.mtx	21000	21000	4609478	1.0452	52.831	 	0.0106	1
artificial_21000_21000_4609474_mu_220_std_0.78_random_s14_g.mtx	21000	21000	4609474	1.0452	52.831	 	0.011	1
artificial_21000_21000_4609486_mu_220_std_0.84_random_s14_g.mtx	21000	21000	4609486	1.0452	52.831	 	0.0108	1
artificial_21000_21000_4609551_mu_220_std_0.98_random_s14_g.mtx	21000	21000	4609551	1.0452	52.832	 	0.0107	1
artificial_21000_21000_4609569_mu_220_std_1.14_random_s14_g.mtx	21000	21000	4609569	1.0453	52.832	 	0.0112	1
artificial_21000_21000_4609586_mu_220_std_1.32_random_s14_g.mtx	21000	21000	4609586	1.0453	52.833	 	0.0111	1
artificial_21000_21000_4609519_mu_220_std_1.5_random_s14_g.mtx	21000	21000	4609519	1.0452	52.832	 	0.0111	1
artificial_21000_21000_4609533_mu_220_std_1.6_random_s14_g.mtx	21000	21000	4609533	1.0452	52.832	 	0.011	1
artificial_21000_21000_4609563_mu_220_std_2.25_random_s14_g.mtx	21000	21000	4609563	1.0453	52.832	 	0.0111	1
artificial_21000_21000_4609562_mu_220_std_2.5_random_s14_g.mtx	21000	21000	4609562	1.0453	52.832	 	0.011	1
artificial_21000_21000_4609573_mu_220_std_3_random_s14_g.mtx	21000	21000	4609573	1.0453	52.832	 	0.011	1
artificial_21000_21000_4609787_mu_220_std_8_random_s14_g.mtx	21000	21000	4609787	1.0453	52.835	 	0.0111	1
artificial_21000_21000_4609992_mu_220_std_13_random_s14_g.mtx	21000	21000	4609992	1.0453	52.837	 	0.0111	1
artificial_21000_21000_4610999_mu_220_std_125_random_s14_g.mtx	21000	21000	4610999	1.0456	52.849	 	0.0113	1
artificial_38000_38000_3020978_mu_80_std_0.02_random_s14_g.mtx	38000	38000	3020978	0.2092	34.717	 	0.0199	1
artificial_38000_38000_3020975_mu_80_std_0.09_random_s14_g.mtx	38000	38000	3020975	0.2092	34.717	 	0.0189	1
artificial_38000_38000_3020971_mu_80_std_0.2_random_s14_g.mtx	38000	38000	3020971	0.2092	34.717	 	0.0199	1
artificial_38000_38000_3020965_mu_80_std_0.25_random_s14_g.mtx	38000	38000	3020965	0.2092	34.717	 	0.0197	1
artificial_38000_38000_3020958_mu_80_std_0.3_random_s14_g.mtx	38000	38000	3020958	0.2092	34.717	 	0.0199	1
artificial_38000_38000_3020942_mu_80_std_0.39_random_s14_g.mtx	38000	38000	3020942	0.2092	34.717	 	0.0197	1
artificial_38000_38000_3020942_mu_80_std_0.43_random_s14_g.mtx	38000	38000	3020942	0.2092	34.717	 	0.0201	1
artificial_38000_38000_3021013_mu_80_std_0.55_random_s14_g.mtx	38000	38000	3021013	0.2092	34.718	 	0.0195	1
artificial_38000_38000_3020959_mu_80_std_0.64_random_s14_g.mtx	38000	38000	3020959	0.2092	34.717	 	0.0199	1
artificial_38000_38000_3020897_mu_80_std_0.72_random_s14_g.mtx	38000	38000	3020897	0.2092	34.716	 	0.0191	1
artificial_38000_38000_3020877_mu_80_std_0.78_random_s14_g.mtx	38000	38000	3020877	0.2092	34.716	 	0.02	1
artificial_38000_38000_3020885_mu_80_std_0.84_random_s14_g.mtx	38000	38000	3020885	0.2092	34.716	 	0.0194	1
artificial_38000_38000_3020987_mu_80_std_0.98_random_s14_g.mtx	38000	38000	3020987	0.2092	34.717	 	0.0201	1
artificial_38000_38000_3021006_mu_80_std_1.14_random_s14_g.mtx	38000	38000	3021006	0.2092	34.718	 	0.02	1
artificial_38000_38000_3021029_mu_80_std_1.32_random_s14_g.mtx	38000	38000	3021029	0.2092	34.718	 	0.0209	1
artificial_38000_38000_3020951_mu_80_std_1.5_random_s14_g.mtx	38000	38000	3020951	0.2092	34.717	 	0.0197	1
artificial_38000_38000_3020926_mu_80_std_1.6_random_s14_g.mtx	38000	38000	3020926	0.2092	34.717	 	0.0205	1
artificial_38000_38000_3020852_mu_80_std_2.25_random_s14_g.mtx	38000	38000	3020852	0.2092	34.716	 	0.0195	1
artificial_38000_38000_3020828_mu_80_std_2.5_random_s14_g.mtx	38000	38000	3020828	0.2092	34.716	 	0.0199	1
artificial_38000_38000_3020853_mu_80_std_3_random_s14_g.mtx	38000	38000	3020853	0.2092	34.716	 	0.02	1
artificial_38000_38000_3020509_mu_80_std_8_random_s14_g.mtx	38000	38000	3020509	0.2092	34.712	 	0.02	1
artificial_38000_38000_3020481_mu_80_std_13_random_s14_g.mtx	38000	38000	3020481	0.2092	34.712	 	0.0197	1
artificial_38000_38000_3031376_mu_80_std_125_random_s14_g.mtx	38000	38000	3031376	0.2099	34.836	 	0.0229	1
artificial_38000_38000_3970978_mu_105_std_0.02_random_s14_g.mtx	38000	38000	3970978	0.275	45.589	 	0.0197	1
