filename	nr_rows	nr_cols	nr_nnz	density	mem_footprint	 	time1	time2
artificial_83000_83000_215758500_mu_2600_std_0.02_random_s14_g.mtx	83000	83000	215758500	3.1319	2469.477	 	0.0446	1
artificial_83000_83000_215758499_mu_2600_std_0.09_random_s14_g.mtx	83000	83000	215758499	3.1319	2469.477	 	0.0442	1
artificial_83000_83000_215758499_mu_2600_std_0.2_random_s14_g.mtx	83000	83000	215758499	3.1319	2469.477	 	0.0442	1
artificial_83000_83000_215758499_mu_2600_std_0.25_random_s14_g.mtx	83000	83000	215758499	3.1319	2469.477	 	0.045	1
artificial_83000_83000_215758494_mu_2600_std_0.3_random_s14_g.mtx	83000	83000	215758494	3.1319	2469.477	 	0.0443	1
artificial_83000_83000_215758443_mu_2600_std_0.39_random_s14_g.mtx	83000	83000	215758443	3.1319	2469.476	 	0.0445	1
artificial_83000_83000_215758428_mu_2600_std_0.43_random_s14_g.mtx	83000	83000	215758428	3.1319	2469.476	 	0.0447	1
artificial_83000_83000_215758447_mu_2600_std_0.55_random_s14_g.mtx	83000	83000	215758447	3.1319	2469.476	 	0.0444	1
artificial_83000_83000_215758504_mu_2600_std_0.64_random_s14_g.mtx	83000	83000	215758504	3.1319	2469.477	 	0.0448	1
artificial_83000_83000_215758405_mu_2600_std_0.72_random_s14_g.mtx	83000	83000	215758405	3.1319	2469.476	 	0.0443	1
artificial_83000_83000_215758401_mu_2600_std_0.78_random_s14_g.mtx	83000	83000	215758401	3.1319	2469.476	 	0.0446	1
artificial_83000_83000_215758389_mu_2600_std_0.84_random_s14_g.mtx	83000	83000	215758389	3.1319	2469.475	 	0.0449	1
artificial_83000_83000_215758486_mu_2600_std_0.98_random_s14_g.mtx	83000	83000	215758486	3.1319	2469.477	 	0.0442	1
artificial_83000_83000_215758523_mu_2600_std_1.14_random_s14_g.mtx	83000	83000	215758523	3.1319	2469.477	 	0.0446	1
artificial_83000_83000_215758644_mu_2600_std_1.32_random_s14_g.mtx	83000	83000	215758644	3.1319	2469.478	 	0.0438	1
artificial_83000_83000_215758475_mu_2600_std_1.5_random_s14_g.mtx	83000	83000	215758475	3.1319	2469.476	 	0.0445	1
artificial_83000_83000_215758402_mu_2600_std_1.6_random_s14_g.mtx	83000	83000	215758402	3.1319	2469.476	 	0.0446	1
artificial_83000_83000_215758358_mu_2600_std_2.25_random_s14_g.mtx	83000	83000	215758358	3.1319	2469.475	 	0.0439	1
artificial_83000_83000_215758439_mu_2600_std_2.5_random_s14_g.mtx	83000	83000	215758439	3.1319	2469.476	 	0.045	1
artificial_83000_83000_215758441_mu_2600_std_3_random_s14_g.mtx	83000	83000	215758441	3.1319	2469.476	 	0.0443	1
artificial_83000_83000_215758474_mu_2600_std_8_random_s14_g.mtx	83000	83000	215758474	3.1319	2469.476	 	0.0433	1
artificial_83000_83000_215758486_mu_2600_std_13_random_s14_g.mtx	83000	83000	215758486	3.1319	2469.477	 	0.0438	1
artificial_83000_83000_215757783_mu_2600_std_125_random_s14_g.mtx	83000	83000	215757783	3.1319	2469.468	 	0.044	1
artificial_121000_121000_314539552_mu_2600_std_0.02_random_s14_g.mtx	121000	121000	314539552	2.1483	3600.081	 	0.0628	1
